mysql-row, mysql-column, cassandra-row, cassandra-column
19499.551375,1641.4808340000018,4716.388874999997,10176.649958000002
0.0025840000016614795,0.0005419999943114817,0.0004169999956502579,0.0003749999959836714
0.003167000009852927,0.0003749999959836714,0.0003329999963170849,0.0003749999959836714
0.006709000008413568,0.0014169999994919635,0.0013330000001587905,0.0012080000014975667
0.004584000002068933,0.0013750000071013346,0.0010840000031748787,0.0008750000051804818
0.0025830000013229437,0.00041700000292621553,0.000375000003259629,0.00045900000259280205
0.0016250000044237822,0.00041700000292621553,0.0003749999959836714,0.0003749999959836714
0.0016250000044237822,0.00045899999531684443,0.0003749999959836714,0.0003749999959836714
0.0024169999960577115,0.0005000000019208528,0.0005000000019208528,0.000375000003259629
0.0010420000035082921,0.0004580000022542663,0.0004580000022542663,0.000375000003259629
